,x,y,Activity
0,-25.520004,-20.739208,STANDING
1,22.175642,-71.424644,STANDING
2,23.656492,-70.702286,STANDING
3,13.737759,-69.56616,STANDING
4,20.22745,-70.27598,STANDING
5,15.541142,-69.85282,STANDING
6,-9.408418,-43.28735,STANDING
7,19.42771,-70.45487,STANDING
8,-8.967915,-43.888577,STANDING
9,14.119337,-68.78035,STANDING
10,-8.268246,-47.042282,STANDING
11,4.4002438,-58.195,STANDING
12,-8.930656,-45.124573,STANDING
13,23.41582,-69.7402,STANDING
14,-24.277952,-18.127394,STANDING
15,26.375412,-55.512356,STANDING
16,17.452526,-52.85073,STANDING
17,26.33057,-55.57628,STANDING
18,16.27808,-52.93292,STANDING
19,26.381695,-55.394882,STANDING
20,17.158407,-52.87511,STANDING
21,25.372494,-56.82082,STANDING
22,16.11349,-52.90712,STANDING
23,17.71467,-52.7601,STANDING
24,6.15199,-42.509647,STANDING
25,26.29907,-55.819992,STANDING
26,6.1754355,-42.63669,STANDING
27,-36.907227,-8.63184,SITTING
28,-41.61023,-12.662611,SITTING
29,-43.53771,-18.46213,SITTING
30,-38.029095,-29.544981,SITTING
31,-38.521976,-9.455124,SITTING
32,-38.470615,-7.41195,SITTING
33,-45.582264,-9.502584,SITTING
34,-45.66001,-9.518053,SITTING
35,-48.348705,-11.174821,SITTING
36,-52.29236,-12.935072,SITTING
37,-54.743713,-13.26878,SITTING
38,-35.129284,-12.944776,SITTING
39,-46.43967,-33.444065,SITTING
40,-48.566944,-37.555305,SITTING
41,-56.786034,-40.81585,SITTING
42,-46.804184,-34.136173,SITTING
43,-42.35251,-26.919947,SITTING
44,-40.680466,-24.32089,SITTING
45,-56.967243,-40.789246,SITTING
46,-56.814495,-40.80888,SITTING
47,-56.831135,-40.80259,SITTING
48,-56.888176,-40.785603,SITTING
49,-43.827354,-30.995565,SITTING
50,-56.756733,-40.803165,SITTING
51,-61.30281,36.134445,LAYING
52,-62.6736,31.06118,LAYING
53,-64.918335,21.384886,LAYING
54,-64.84187,20.800776,LAYING
55,-67.213776,6.1101165,LAYING
56,-64.92807,21.51701,LAYING
57,-64.868576,23.601662,LAYING
58,-67.24862,6.115584,LAYING
59,-66.61389,6.1042576,LAYING
60,-66.24058,6.1071234,LAYING
61,-64.77286,20.520437,LAYING
62,-67.49301,6.1548247,LAYING
63,-66.95088,6.0925717,LAYING
64,-60.650055,31.78261,LAYING
65,-28.132954,35.620148,LAYING
66,-50.972496,34.699966,LAYING
67,-49.804367,37.772053,LAYING
68,-51.00382,32.502808,LAYING
69,-52.501495,29.480165,LAYING
70,-48.8989,36.955765,LAYING
71,-46.75167,37.47519,LAYING
72,-38.258976,20.450686,LAYING
73,-37.83206,19.356272,LAYING
74,-37.902046,18.464394,LAYING
75,-37.937862,18.071827,LAYING
76,-37.925106,18.228752,LAYING
