,x,y,z,Activity
0,-4.919175,-8.682978,9.574598,STANDING
1,0.41581878,-15.826006,-11.804584,STANDING
2,1.0963225,-16.655586,-12.203183,STANDING
3,-1.6757737,-13.072089,-8.080769,STANDING
4,0.0048587653,-15.624319,-10.996193,STANDING
5,-1.2938415,-14.002952,-9.033834,STANDING
6,-3.2473235,-10.422848,2.2360127,STANDING
7,-0.393589,-15.316478,-10.699449,STANDING
8,-2.906318,-10.335849,1.4629321,STANDING
9,-1.0888289,-13.112229,-8.055164,STANDING
10,-2.42844,-10.505441,-1.3939155,STANDING
11,-1.7884,-10.676229,-2.5868096,STANDING
12,-2.9650545,-10.423354,0.38744172,STANDING
13,1.291333,-16.827377,-11.644813,STANDING
14,-3.517487,-8.381043,11.092835,STANDING
15,6.886042,-16.86948,-5.039883,STANDING
16,6.0290065,-13.848603,-2.8750815,STANDING
17,6.912149,-16.970423,-5.062345,STANDING
18,5.4919686,-13.257252,-2.5782669,STANDING
19,6.945025,-16.811558,-4.9730716,STANDING
20,5.898292,-13.6823,-2.8106015,STANDING
21,6.8731503,-18.581924,-5.1910954,STANDING
22,5.4071326,-13.207269,-2.514727,STANDING
23,6.159714,-14.043345,-2.9200306,STANDING
24,2.1543336,-11.983305,1.6238075,STANDING
25,6.8730526,-17.115868,-5.17808,STANDING
26,2.1502373,-11.97449,1.4995855,STANDING
27,-7.544108,-2.608032,13.593063,SITTING
28,-10.70616,-4.1079865,12.413778,SITTING
29,-11.951281,-5.0384593,8.86728,SITTING
30,-10.229508,-5.0745277,4.5433793,SITTING
31,-8.018307,-1.9991274,12.396479,SITTING
32,-8.607349,-1.737568,14.158566,SITTING
33,-12.485591,-1.7508653,13.82714,SITTING
34,-12.58123,-1.7783861,13.772444,SITTING
35,-13.556604,-1.8854285,12.594848,SITTING
36,-15.889882,-2.399795,10.72686,SITTING
37,-17.30723,-2.3012028,10.383489,SITTING
38,-8.688526,-5.50211,13.025854,SITTING
39,-12.743893,-6.7073855,1.651379,SITTING
40,-14.419278,-6.4098244,-0.59473884,SITTING
41,-17.659464,-5.4741535,-2.232877,SITTING
42,-13.02592,-6.7593746,1.2177478,SITTING
43,-11.029302,-6.83696,5.126776,SITTING
44,-10.073128,-6.824728,6.9382734,SITTING
45,-17.38805,-5.45232,-2.1208956,SITTING
46,-17.583223,-5.481821,-2.208088,SITTING
47,-17.565771,-5.4776826,-2.195971,SITTING
48,-17.536026,-5.4573355,-2.166274,SITTING
49,-11.865368,-6.8913703,3.074317,SITTING
50,-17.658379,-5.497241,-2.2306192,SITTING
51,-9.070156,12.013175,-4.265898,LAYING
52,-9.675383,9.67525,-5.160936,LAYING
53,-12.594751,4.872422,-6.4367676,LAYING
54,-12.877146,4.548629,-6.5219665,LAYING
55,-16.95693,2.1476614,-9.539664,LAYING
56,-12.539945,4.9364104,-6.417802,LAYING
57,-11.731108,6.181816,-5.9985704,LAYING
58,-16.929583,2.158974,-9.513613,LAYING
59,-17.375597,2.036329,-9.791364,LAYING
60,-17.662056,2.0025527,-9.950537,LAYING
61,-13.018752,4.402304,-6.554304,LAYING
62,-16.75315,2.2454112,-9.341491,LAYING
63,-17.139706,2.0900276,-9.644192,LAYING
64,-9.206433,9.633063,-1.343371,LAYING
65,-7.3565135,6.578709,8.137009,LAYING
66,-8.865322,10.493089,-0.6000445,LAYING
67,-8.8263855,12.327051,-0.18846017,LAYING
68,-11.019949,10.780758,-0.7767764,LAYING
69,-11.6966715,10.164926,-1.3812815,LAYING
70,-8.295929,12.067029,0.6895303,LAYING
71,-8.585472,12.371758,1.801919,LAYING
72,-19.148567,9.737697,3.6176212,LAYING
73,-19.815495,9.484703,3.8668733,LAYING
74,-20.40734,8.9340515,3.4554064,LAYING
75,-20.615921,8.738649,3.3067737,LAYING
76,-20.538576,8.814223,3.3632674,LAYING
77,-20.525278,8.826692,3.3721128,LAYING
78,3.319573,-4.916262,-5.051821,WALKING
79,5.04719,-3.5723965,-5.7689314,WALKING
80,7.0317473,-2.1407726,-5.0829253,WALKING
81,5.9421387,-2.1790683,-5.6160707,WALKING
82,7.3552322,-0.76586974,-7.104752,WALKING
83,7.3972116,0.12488804,-7.2855477,WALKING
84,5.3562894,-2.3540103,-5.385191,WALKING
85,4.3197346,-4.0550966,-6.2410593,WALKING
86,3.0983083,-3.584816,-4.413892,WALKING
87,5.8117037,-1.8968152,-5.2246747,WALKING
88,6.0698223,-1.5705942,-5.085243,WALKING
89,7.7734413,0.008499382,-6.7183347,WALKING
90,7.875762,0.05806261,-6.994452,WALKING
91,7.86515,0.5255192,-7.1338763,WALKING
